ms	state	Pressure	Temperature	altitute
22828	0	97983.250	 20.912	289.529
23426	0	97981.875	 20.925	289.664
24021	0	97983.750	 20.925	289.498
24618	0	97984.125	 20.896	289.437
25213	0	97983.812	 20.925	289.492
25810	0	97982.938	 20.925	289.570
26405	0	97983.750	 20.925	289.498
27015	0	97982.625	 20.896	289.568
27611	0	97982.625	 20.925	289.597
28207	0	97983.125	 20.912	289.540
28803	0	97983.000	 20.896	289.535
29399	0	97983.562	 20.896	289.485
29995	0	97983.625	 20.925	289.509
30591	0	97985.125	 20.912	289.363
31190	0	97985.000	 20.912	289.374
31786	0	97984.000	 20.925	289.476
32381	0	97983.750	 20.912	289.485
32978	0	97982.625	 20.912	289.584
33574	0	97984.125	 20.925	289.465
34170	0	97983.875	 20.912	289.474
34767	0	97983.000	 20.896	289.535
35363	0	97982.812	 20.896	289.552
35959	0	97984.125	 20.869	289.410
36555	0	97984.188	 20.896	289.431
37151	0	97984.000	 20.896	289.448
37747	0	97983.750	 20.896	289.469
38343	0	97984.000	 20.896	289.448
38939	0	97982.688	 20.882	289.550
39535	0	97982.688	 20.896	289.563
40135	0	97983.625	 20.912	289.496
40732	1	97983.875	 20.896	289.458
41327	1	97984.312	 20.896	289.420
41923	1	97984.750	 20.896	289.381
42519	1	97982.250	 20.912	289.618
43115	1	97985.062	 20.869	289.327
43711	1	97984.000	 20.912	289.463
44308	1	97982.625	 20.882	289.555
44904	1	97983.125	 20.896	289.524
45500	1	97983.375	 20.896	289.502
46096	1	97982.562	 20.882	289.561
46692	1	97982.938	 20.882	289.528
47288	1	97982.500	 20.882	289.567
47894	1	97982.375	 20.882	289.578
48490	1	97983.938	 20.882	289.439
49086	1	97983.375	 20.882	289.489
49686	1	97982.812	 20.882	289.539
50282	1	97983.750	 20.896	289.469
50878	1	97981.688	 20.882	289.638
51474	1	97982.438	 20.856	289.546
52070	1	97983.750	 20.882	289.456
52666	1	97983.812	 20.869	289.437
53262	1	97983.812	 20.896	289.463
53858	1	97982.438	 20.882	289.572
54454	1	97984.250	 20.856	289.386
55050	1	97983.750	 20.896	289.469
55646	1	97982.062	 20.856	289.579
56242	1	97982.000	 20.869	289.598
56838	1	97982.750	 20.869	289.531
57434	1	97982.375	 20.882	289.578
58031	1	97982.375	 20.869	289.565
58631	1	97982.562	 20.882	289.561
59226	0	97983.750	 20.869	289.443
59823	0	97983.125	 20.856	289.485
60418	0	97982.688	 20.869	289.537
61015	0	97985.000	 20.869	289.332
61610	0	97983.500	 20.869	289.465
62207	0	97985.125	 20.869	289.321
62802	0	97983.938	 20.869	289.426
63399	0	97984.812	 20.869	289.349
63994	0	97984.562	 20.869	289.371
64591	0	97984.125	 20.896	289.437
65187	0	97986.375	 20.869	289.211
65783	0	97984.938	 20.882	289.352
66380	0	97986.375	 20.882	289.224
66977	0	97983.938	 20.856	289.413
67577	0	97985.250	 20.856	289.297
68173	0	97984.188	 20.856	289.391
68769	0	97984.312	 20.869	289.393
69365	0	97984.062	 20.856	289.402
69962	0	97985.125	 20.882	289.335
70558	0	97986.062	 20.856	289.225
71155	0	97984.562	 20.869	289.371
71751	0	97984.000	 20.882	289.434
72347	0	97984.812	 20.882	289.362
72943	0	97984.000	 20.882	289.434
73539	0	97985.062	 20.840	289.298
74135	0	97984.875	 20.856	289.330
74732	0	97985.750	 20.869	289.266
75328	0	97984.188	 20.869	289.404
75924	0	97984.875	 20.882	289.357
76524	0	97984.938	 20.869	289.338
77121	0	97985.938	 20.869	289.250
77717	0	97984.000	 20.869	289.421
78313	0	97984.188	 20.856	289.391
78908	1	97985.812	 20.826	289.218
79504	1	97985.188	 20.856	289.303
80101	1	97984.375	 20.840	289.359
80696	1	97983.688	 20.882	289.461
81292	1	97983.312	 20.856	289.469
81889	1	97984.625	 20.856	289.352
82484	1	97983.688	 20.840	289.419
83080	1	97985.250	 20.856	289.297
83676	1	97983.188	 20.869	289.493
84273	1	97984.625	 20.856	289.352
84870	1	97984.938	 20.856	289.325
85470	1	97984.562	 20.856	289.358
86066	1	97984.062	 20.840	289.386
86662	1	97983.500	 20.856	289.452
87258	1	97984.062	 20.856	289.402
87854	1	97984.625	 20.869	289.365
88450	1	97983.625	 20.869	289.454
89046	1	97984.750	 20.882	289.367
89642	1	97984.375	 20.869	289.388
90238	1	97984.688	 20.869	289.360
90834	1	97984.062	 20.869	289.415
91430	1	97984.875	 20.869	289.343
92026	1	97984.250	 20.869	289.399
